"screening_id","TI","AU","PY","SO","DOI","AB","screening_decision","screening_reason","screening_notes"
1,"MDCV: a decentralized and collusion-resistant consistency verification scheme for multi-cloud storage","Qin, X.; K.; Huang, Y.",2026,NA,"10.1186/s42400-026-00561-y","Ensuring data consistency across multiple cloud service providers (CSPs) is essential for maintaining the reliability and security of multi-cloud storage systems. However, most existing related works rely on trusted third parties (TTPs) and are vulnerable to collusion, which undermines trust and efficiency. To overcome these challenges, we propose MDCV, a decentralized and collusion-resistant consistency verification scheme for multi-cloud storage. MDCV leverages smart contracts to autonomously coordinate consistency verification process without relying on any TTP, thereby ensuring transparency, immutability, and trust-free verification. Specifically, MDCV employs a collusion-resistant public verification protocol in which each CSP binds the proof generation process to its private key and generates non-interactive, publicly verifiable consistency proof using pseudo-random challenges derived from blockchain transaction IDs. This design not only prevents colluding CSPs from generating forged proofs but also supports public auditing. Formal security analysis demonstrates the soundness of the proposed scheme, while experimental results show that MDCV achieves efficient proof generation and verification with lower computational and communication overhead, validating its practicality in real-world multi-cloud backup auditing systems. © The Author(s) 2026.","exclude","I5: Domain relevance",""
2,"Blockchain for e-healthcare: a review on secure data management frameworks and future challenges","Khan, A.A.; Baqasah, A.M.; Alsafyani, M.; Alsufyani, H.; Alhazmi, A.; Ullah, S.",2026,NA,"10.1186/s40537-025-01348-7","The revolution in Blockchain Distributed Ledger Technology (BDLT) is changing conventional structures and creating previously unattainable opportunities across a variety of industrial fields. This study explores new developments, opportunities, and trends while tackling important issues that highlight the revolutionary potential of BDLT. For secure, automated, and dependable ecosystem management, it focuses on innovations like Denaturalized Finance (Defi), chaincode, and BDLT interface with the Internet of Things (IoT). The investigation of hybrid blockchain models, which combine the benefits of private and public blockchains, is a novel component of this research. It provides a customized strategy to guarantee improved scalability, privacy, and performance. Conversely, this study highlighted the critical function of Hyperledger, a modular framework that makes enterprise-level blockchain solutions possible. Thus, Ethereum is a flexible platform with strong chaincode capabilities that facilitate the creation of Distributed Applications (DApps). Such opportunities for advancements are evaluated closely in order to demonstrate how they contribute to practical uses and innovations unique to a given sector. To improve worldwide acceptance, the paper also presents Systematic Literature Review (SLR) in order to demonstrate the existing innovative frameworks, especially Hyperledger Technology (HT) for resolving constraints such as consensus protocols for energy efficiency and adaptive regulatory models. For technological experts, industrial developers, and third-party policymakers seeking to harness BDLT's disruptive capabilities while navigating its complexity, this paper offers new viewpoints and practical insights to help close the gap between theoretical innovation and real-world applications. © The Author(s) 2026.","include","",""
3,"Identification of biomedical entities from multiple repositories using a specialized metadata schema and search-augmented large language models","Kaier, K.; Engel, F.; Benadi, G.; Giuliani, C.; Watter, M.; Kalantari, A.; Schuller, K.; Franzke, C.-W.; Sperandio, M.; Binder, H.",2026,NA,"10.1186/s13104-026-07632-w","Objective: Many biomedical articles reference multiple datasets across different public repositories, complicating accurate metadata capture and downstream re-use. Building on our prior grounded large language model (LLM) workflows for biomedical entity annotation, we extend the approach to identify and annotate all datasets referenced by a paper, even when distributed across repositories, by combining a specialized metadata schema with a three-step, search-augmented prompting strategy. Results: In the Transregional Collaborative Research Center PILOT (TRR 359 “Perinatal Development of Immune Cell Topology”), Gene Expression Omnibus (GEO) releases are common alongside additional repository deposits. The applied approach reliably detected datasets referenced in articles and produced schema-compliant annotations using information available on the repository landing pages. After validation through structured face-to-face interviews with the article’s senior author, Gemini 2.5 Pro achieved higher precision (97.1%) than GPT-4.1 (81.9%, p < 0.001) and Claude Sonnet 4 (88.6%, p < 0.001). Limiting the annotation to the information available in the repositories achieved higher precision than adding information from the article (919% vs. 88.3% across all LLMs, p = 0.004). These results indicate that simple repository-grounded extraction enables high quality, multi-dataset metadata annotation which has the potential to minimize the time and effort required for manual metadata annotation. © The Author(s) 2026.","include","",""
4,"Semantic decentralized authentication for IoT-based e-learning using Hedera Hashgraph and Knowledge Graphs","Luo, L.; Zhang, Y.; Tang, Q.",2026,NA,"10.1038/s41598-025-33206-0","The integration of Internet of Things (IoT) devices in e-learning systems necessitates robust, scalable, and secure authentication procedures to provide dependable sharing of academic records among remote educational institutions. Conventional centralized systems experience scalability limitations, singular points of failure, and heightened susceptibility to hackers, especially in resource-limited IoT settings. This paper presents a decentralized authentication framework based on Hedera Hashgraph and Knowledge Graphs (KGs) to tackle these issues. The architecture incorporates a GAN-based cryptography module for the generation of dynamic symmetric keys, enhancing resistance against predictive and inference-based attacks. Knowledge Graphs facilitate semantic validation of identification features and improve interoperability among institutions via the Hedera Consensus Service (HCS). The quantitative assessment indicates that the Hedera + KG + GAN model attains a 17.1% increase in throughput, an 11–12% reduction in processing time, up to a 20% decrease in execution time for substantial data volumes, a 6–15% decline in energy consumption, and an approximate 23% reduction in authentication delay during periods of high network utilization relative to the leading competing frameworks. The suggested method provides a scalable, safe, and semantically enriched authentication mechanism for IoT-enabled e-learning ecosystems, creating a solid foundation for next-generation decentralized educational platforms. © The Author(s) 2025.","exclude","I5: Domain relevance",""
5,"Ai-guided vectorization for efficient storage and semantic retrieval of visual data","Harby, A.A.; Zulkernine, F.; Abdulsalam, H.M.",2026,NA,"10.1007/s44163-025-00713-y","The rapid growth of multimedia content has increased the demand for effective methods to reduce storage requirements while maintaining quality and enabling fast data transmission. Existing standards and generative model approaches often involve high computational cost, require extensive parameter tuning, and produce inconsistent results, particularly in environments with limited processing resources. This paper presents a convolutional autoencoder framework for reducing the storage footprint of image and video data. The proposed method is designed for efficient integration with existing storage and retrieval systems. Several autoencoder architectures are developed and evaluated on diverse datasets including CelebA, IMDb Faces, Oxford Flowers 102, MNIST, and UCF101. The results show 56.6% to 70.8% for image data volume with minimal degradation in perceptual quality. The system incorporates a latent representation module that supports compact storage, efficient indexing, and accurate reconstruction. These capabilities are essential for practical deployment in multimedia platforms. Experimental evaluation demonstrates that the proposed approach performs competitively with recent techniques while providing greater consistency and reduced computational overhead. In comparison to generative models, the method achieves a higher peak signal to noise ratio and improved structural fidelity. This study offers a practical and reproducible solution for storage reduction, well suited for large scale image and video archiving and retrieval under constrained or high-throughput conditions. © The Author(s) 2025.","exclude","I4: Technical implementation",""
6,"Reconstruction of the Age of Provenances for the Rare Metal-Titanium Placers of the Upper Neogene Ergeninskaya Formation (Karpinsky Ridge, Epi-Hercynian Scythian Platform)","Chefranova, A.V.; Kovach, V.P.; Volkov, A.V.; Lalomov, A.V.; Lavrishchev, V.A.; Chefranov, R.M.; Plotkina, Y.V.; Gorohovskiy, B.M.",2026,NA,"10.1134/S1028334X25608909","Abstract: Reconstruction of the provenance ages for terrigenous material of the Upper Neogene Ergeninskaya formation, which contains rare metal-titanium placers within the Ergeninskaya Upland, is carried out using a set of lithological and mineralogical methods, including isotopic U–Th–Pb dating of detrital zircon. The obtained data indicate that the source of terrigenous material was the chemical weathering crusts developed along the Neoproterozoic and the Mezoproterozoic (Riphean) volcano-plutonic complexes of the Voronezh anteclise and the Ukrainian Shield, that are almost completely eroded by now, as well as along the Paleoproterozoic and Archean crystalline rocks of the basement of these tectonic structures. Most likely, the products derived from breakdown of the above-mentioned rocks participated in the structure of the main intermediate collector, the role of which should have been played by Carboniferous sedimentary formations with an areal distribution in the south of the East European platform. The southeastern edge of the territory of the Donets folded structure acted as a proximal source of terrigenous material during the accumulation of the Ergeninsky placers, as indirectly evidenced by single crystals of detrital zircon with Triassic and Carboniferous U–Th–Pb age estimates. © Pleiades Publishing, Ltd. 2026.","include","",""
7,"A blockchain-based healthcare architecture for secure data management and advanced prediction using an improved wild geese optimized natural extreme gradient boosting algorithm","T F, M.R.; Uma Mageswari, R.; S, J.N.K.; M M, G.A.",2026,NA,"10.1016/j.suscom.2026.101301","Digitized services are considered as the most valuable services in healthcare that make individuals' lives smarter. However, various issues, such as security, reliability, massive information retrieval, and storage associated with the processing of patients' healthcare records, require improving both traditional information processing and Blockchain-based systems. To address these challenges, a machine learning-based information processing framework and a Blockchain-based secure information transfer protocol are employed. This paper proposes an improved Wild Geese Optimized Natural Extreme Gradient Boosting algorithm for accurate healthcare data classification and prediction. This model enhances decision-making by supporting precise treatment planning and service recommendations. The investigation includes patients' appointment identity, patient details, illness types, and disease durations. The hyperparameters of the Natural Extreme Gradient Boosting algorithm are optimized using the improved wild geese algorithm, thereby preventing the solution from becoming trapped in local optima (i.e., suboptimal points where the search halts prematurely instead of reaching the best global solution). The developed improved wild geese algorithm is formed by integrating the migration and foraging behaviors of the wild geese algorithm and the elimination-dispersal behaviors of the bacterial foraging algorithm. In the Blockchain healthcare framework, users can define access policies and to minimize communication delay and overhead, the user data is stored near their device location instead of in the cloud. Experimental evaluation demonstrates that the proposed model achieves an accuracy of 95 %, a Matthews Correlation Coefficient of 0.598, and a computational time of 0.925 s. © 2026","include","",""
8,"Ag aerogel/ZIF-8 nanocomposite as a sensitive and reproducible SERS platform for gaseous molecule detection","Xue, X.; Wang, Z.; Zhao, C.; Qiao, Y.; Wang, P.; Wang, J.; Shi, J.; Liu, B.; Zhang, J.",2026,NA,"10.1016/j.saa.2026.127610","Noble metals and metal-organic frameworks (MOFs) composite serve as prospective substrate for surface-enhanced Raman scattering (SERS) technology. Herein, an Ag aerogel/ZIF-8 nanocomposite was synthesized and exploited as an ultrasensitive SERS substrate. The as-designed Ag aerogel/ZIF-8 nanocomposite exhibited superior SERS performance, enabling the detection of 4-mercaptobenzoic acid (4-MBA) probe molecules at an ultra-low concentration of 10−10 M. The Ag aerogel/ZIF-8 nanocomposite demonstrated a remarkably high SERS enhancement factor (EF) of 3.73 × 106. The SERS performance resulted from the combined contribution of electromagnetic field enhancement and charge-transfer process. Furthermore, the Ag aerogel/ZIF-8 nanocomposite exhibited good reproducibility, with the SERS signals showing minimal standard deviation in repeated measurements. The Ag aerogel/ZIF-8 nanocomposite further enabled SERS-based detection of gaseous benzaldehyde, demonstrating its potential for monitoring volatile organic compounds (VOCs) in air samples. Compared with conventional MOF- or aerogel-based SERS substrates, the as-prepared Ag aerogel/ZIF-8 nanocomposite combines excellent SERS activity with high porosity, large surface area, and strong adsorption ability. This unique hybrid structure significantly improves sensitivity, selectivity, and stability, showing high novelty and advancement for SERS detection, and can be applied to food safety, disease diagnosis and environmental monitoring. © 2026 Elsevier B.V.","include","",""
9,"Beyond keywords: modeling the semantic complexity of deceptive communication on instant messaging platforms","Xu, S.; Ding, Z.; Wei, Z.; Yang, C.P.; Li, Y.; Chen, X.; Wang, H.",2026,NA,"10.1007/s42001-026-00461-8","Instant messaging platforms such as Telegram enable rapid information exchange but also facilitate deceptive messaging at scale. In this study, we examine Telegram spam detection through a hierarchy of models that vary in linguistic modeling capacity, from interpretable lexical baselines (Logistic Regression, Random Forest, LightGBM) to sequential (GRU) and context-aware transformer representations (ALBERT). Using a harmonized preprocessing and evaluation pipeline on 20,348 labeled messages, we compare predictive performance across metrics (F1, ROC–AUC, PR–AUC, calibration) and assess pairwise differences via McNemar’s test with multiple-comparison correction. Across all metrics, ALBERT achieves the strongest performance and substantially improves spam-class detection relative to lexical models. This performance gap is consistent with the presence of a subset of deceptive messages whose signals are less concentrated in surface keywords and more distributed across context. However, improved performance may also reflect differences in model capacity and inductive bias, benefits from large-scale pretraining, and stronger handling of sparse patterns via contextual and subword representations. Accordingly, we interpret the proposed “complex tier” as an operational characterization of lexically subtle spam in this corpus, and we suggest that keyword-based moderation may be insufficient on its own to capture the full spectrum of deceptive messaging observed here. © The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd. 2026.","exclude","I5: Domain relevance",""
10,"Crash consistency in an NVM-enabled hybrid storage system: Problems, solutions, and verification","Wang, G.; Hu, J.; Pei, C.; Li, T.; Lyu, K.; Che, X.",2026,NA,"10.1016/j.sysarc.2026.103705","Non-volatile memory (NVM), as a byte-addressable persistent device, offers capacity, performance, and cost characteristics that lie between DRAM and disk. Its emergence adds a new tier to the computer memory architecture and introduces new design challenges. Among various hybrid storage designs, we find that the Sync-triggered Selective Absorption (SA) model is both high-performing and broadly applicable when aiming to fully leverage NVM's characteristics in conjunction with DRAM and disk. However, this model introduces three key crash consistency challenges: the Write Ordering, Write Granularity, and Parallel Write problems. In this paper, we define a consistency model based on synchronization semantics and conduct an in-depth analysis of the three consistency challenges faced by SA systems. We then present targeted solutions for each problem and formally verify our design using model checking. We hope our exploration and resolution of these issues will offer guidance for the design of efficient and robust hybrid storage systems. © 2026 Elsevier B.V.","exclude","I5: Domain relevance",""
